Year,Sales,DeathRateMale,DateRateFemale
1989,6.46279069989227,42.686,9.17386666666667
1990,6.35749999284744,42.1923376623377,8.98285714285714
1991,6.29268290356892,41.2690789473684,9.05973684210526
1992,5.96097560626704,41.5328571428571,9.56727272727273
1993,5.81162789533305,42.1407894736842,9.61986842105263
1994,5.9162790442622,40.643670886076,9.58759493670886
1995,5.85581397455792,39.653950617284,9.22086419753086
1996,5.79767441195111,38.2254761904762,9.33202380952381
1997,5.79069764669551,37.2753012048193,9.74951807228916
1998,5.79999996895014,36.858488372093,9.60418604651163
1999,6.05641023929303,36.4094318181818,9.58511363636364
2000,5.94594595883344,34.4805263157895,9.67957894736842
2001,5.92777775393592,33.2013131313131,9.22262626262626
2002,5.79722222354677,32.9870707070707,9.51616161616162
2003,5.71111112833023,33.3976767676768,9.54393939393939
2004,5.52499993642171,31.770206185567,9.80123711340206
2005,5.16666661898295,31.5033333333333,9.834375
2006,5.21250004321337,32.0536458333333,10.0582291666667
2007,5.25625002384186,31.5389795918367,10.0370408163265
2008,5.22499998658895,31.230618556701,10.1323711340206
2009,4.89687498658895,30.5207920792079,9.85584158415842
2010,4.63448275368789,29.9083838383838,10.0278787878788
2011,4.38695651551952,29.1861224489796,10.0963265306122
2012,4.15500001907349,28.7865979381443,10.3672164948454
2013,4.01333333651225,27.9986458333333,10.1766666666667
2014,3.88461538461538,28.310206185567,10.1745360824742
2015,3.66666658719381,27.7930769230769,10.6107692307692
